Date_extraction|Status|Name_of_data_flow|Type_of_request|value_of_the_parameter|Run_number|Area_Level1|Value_extracted1|Value_extracted2|Value_extracted3|Value_extracted4|EudraCT-number|Sponsor-protocol-number|Start-date|Sponsor-name|Full-tittle|Medical-condition|Disease-version|Disease-soc-term|Disease-classification-code|Disease-term|Disease-level|Population-age|Gender|Trial-protocol|Trial results
20170102_004904|0|Clinicaltrials|nc|takeda|137|Total number of trials|nc|nc|nc|nc|2014-001705-40|ju2014|2015-02-09|Tampereen yliopistollinen sairaala|Laskimonsisäinen PCA (patient-controlled analgesia) -oksikodoni verrattuna suun kautta otettavaan oksikodoniin keisarileikkauksen jälkeisen kivun lievityksessä – satunnaistettu vertaileva tutkimus|Medical condition|17.1|10042613 - Surgical and medical procedures|10006924|Caesarean section|PT|Adults|Female|FI (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|138|Total number of trials|nc|nc|nc|nc|2015-000185-59|12012015|2015-03-03|Merja Kokki|The effect of oxycodone to placental and fetal circulation during the phase I of labor and the efficacy, safety and neonatal effects of oxycodone.|Labor pain at the onset of labor in previously healthy women with normal pregnancy|17.1|100000004868|10059210|Labor pain|LLT|In utero, Newborns, Under 18, Adults|Female|FI (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|139|Total number of trials|nc|nc|nc|nc|2014-003252-31|2.0|2015-05-15|University of Turku|Dose response study of Patient Controlled Analgesia (PCA) of Dexmedetomidine in orthopaedic spine surgery patients|Patients, who are scheduled for elective posterolateral lumbar spine fusion with bilateral transpedicular screw instrumentation|17.1|100000004859|10041595|Spinal stenosis lumbar|LLT|Adults, Elderly|Male, Female|FI (Ongoing) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|140|Total number of trials|nc|nc|nc|nc|2013-003404-39|JBR-2-2013|2014-01-03|Department of Medical Research, Regional Hospital Holstebro|The effect of sodium nitrite infusion on renal variables, brachial and central blood pressure during enzyme inhibition by allopurinol, enalapril or acetazolamid in healthy subjects. A randomized, d...|The normal physiological responses in healthy subjects|14.1|10022891 - Investigations|10022891|Investigations|SOC|Adults|Male, Female|DK (Completed) |(No results available)

20170102_004904|0|Clinicaltrials|nc|takeda|141|Total number of trials|nc|nc|nc|nc|2012-004100-35|FSJD-PIOSPIMET-2012|2012-12-20|Fundació per la Recerca i la Docència Sant Joan de Déu|A prospective, open-label, randomized, two-armed clinical trial to evaluate the efficacy and safety of a combination of ethinyl-estradiol and levonorgestrel versus a low-dose combination of pioglit...|Ovarian hyperandrogenism| | | | | |Adolescents, Under 18, Adults|Female|ES (Completed) |(No results available)

